page_title,number_users_reverted_Jan_to_Dec_2021
2021 Tamil Nadu Legislative Assembly election,216
2022 Uttar Pradesh Legislative Assembly election,203
All India Trinamool Congress,143
Lok Sabha,92
2021 West Bengal Legislative Assembly election,91
Maharashtra Legislative Assembly,90
Muhammad Iqbal,84
West Bengal Legislative Assembly,80
Chiranjeevi,78
Edappadi K. Palaniswami,76
All India Majlis-e-Ittehadul Muslimeen,74
All India Anna Dravida Munnetra Kazhagam,74
Narendra Modi,72
Alauddin Khalji,71
Rakesh Tikait,71
Next Indian general election,69
Dravida Munnetra Kazhagam,69
J. Jayalalithaa,69
Partition of India,68
Arvind Kejriwal,68
Pawan Kalyan,68
Nandamuri Balakrishna,68
Bihar Legislative Assembly,67
2022 Goa Legislative Assembly election,67
Fundamental rights in India,65
Vinayak Damodar Savarkar,65
Communist Party of India (Marxist),65
Lalu Prasad Yadav,64
Chandra Shekhar Azad,60
Naam Tamilar Katchi,60
Madan Mohan Malaviya,59
Lok Janshakti Party,59
2022 Indian presidential election,59
2021 elections in India,58
Vallabhbhai Patel,56
Dharmendra,55
Suvendu Adhikari,54
Nirmala Sitharaman,53
2008 Mumbai attacks,50
"Louis Mountbatten, 1st Earl Mountbatten of Burma",50
Praful Khoda Patel,50
Operation Blue Star,49
Uttar Pradesh Legislative Assembly,48
M. G. Ramachandran,47
Mamata Banerjee,47
Proposed states and union territories of India,47
National Democratic Alliance,47
Navjot Singh Sidhu,47
Sambit Patra,47
N. Chandrababu Naidu,46
Syed Ali Shah Geelani,45
Rajendra Prasad,44
Uddhav Thackeray,44
Union Council of Ministers,44
2021 Indian farmers' Republic Day violence,43
Venkaiah Naidu,43
Subhas Chandra Bose,42
K. Surendran (politician),42
2020â€“2021 Indian farmers' protest,42
Sharad Pawar,42
